@relation wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.instance.RemovePercentage-P80.0

@attribute fixedacid numeric
@attribute volacid numeric
@attribute citricacid numeric
@attribute residualsugar numeric
@attribute chlorides numeric
@attribute freesulfur numeric
@attribute totalsulfur numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}

@data
6.3,0.25,0.53,1.8,0.021,41,101,0.989315,3.19,0.31,13,6
7.5,0.35,0.48,12.4,0.056,61,176.5,0.99803,2.97,0.52,8.8,5
7.1,0.4,0.52,1.3,0.148,45,149,0.99468,3.08,0.56,8.7,5
7.3,0.32,0.35,1.4,0.05,8,163,0.99244,3.24,0.42,10.7,5
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8
6.5,0.18,0.41,14.2,0.039,47,129,0.99678,3.28,0.72,10.3,7
5.9,0.22,0.45,22.6,0.12,55,122,0.99636,3.1,0.35,12.8,5
6.4,0.27,0.3,1.6,0.04,19,86,0.99089,3.32,0.65,11.5,6
8,0.33,0.32,4.6,0.041,31,180,0.99184,2.92,0.74,12.2,6
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7
6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,7
6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6
6.4,0.21,0.21,5.1,0.097,21,105,0.9939,3.07,0.46,9.6,5
6.9,0.24,0.4,15.4,0.052,81,198,0.9986,3.2,0.69,9.4,5
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
6.5,0.21,0.35,5.7,0.043,47,197,0.99392,3.24,0.5,10.1,6
5.7,0.26,0.27,4.1,0.201,73.5,189.5,0.9942,3.27,0.38,9.4,6
6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6
7.8,0.28,0.25,3.4,0.024,27,99,0.98959,2.98,0.37,13,6
6.4,0.28,0.29,1.6,0.052,34,127,0.9929,3.48,0.56,10.5,7
8.4,0.23,0.49,7.8,0.035,22,95,0.9935,3.04,0.34,12,6
7.1,0.28,0.26,1.9,0.049,12,86,0.9934,3.15,0.38,9.4,5
6.4,0.3,0.33,5.2,0.05,30,137,0.99304,3.26,0.58,11.1,5
7,0.32,0.29,7.6,0.025,35,124,0.99162,3.15,0.65,12.8,7
8,0.2,0.3,8.1,0.037,42,130,0.99379,3.1,0.67,11.8,6
7.3,0.26,0.33,11.8,0.057,48,127,0.99693,3.1,0.55,10,6
8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,6
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
6.8,0.3,0.27,11.6,0.028,22,97,0.99314,2.96,0.38,11.7,6
6.4,0.18,0.48,4,0.186,64,150,0.9945,3.06,0.4,9.3,5
7.7,0.28,0.58,12.1,0.046,60,177,0.9983,3.08,0.46,8.9,5
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12,8
8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,5
5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5
7.4,0.26,0.3,7.9,0.049,38,157,0.9963,3.13,0.48,8.9,6
