@relation cars-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-weka.filters.supervised.attribute.NominalToBinary_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A22-N200-T1.0E-4

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute Source_11 numeric
@attribute Source_12 numeric
@attribute Source_13 numeric
@attribute Source_14 numeric
@attribute Source_15 numeric
@attribute Source_16 numeric
@attribute Source_17 numeric
@attribute Source_18 numeric
@attribute Source_19 numeric
@attribute Source_20 numeric
@attribute class {1,2,3,4}

@data
-0.032463,0.016817,-0.008439,0.020499,0.001418,-0.043411,0.051365,0.032274,0.010165,0.02475,0.01757,0.014109,0.024807,-0.003809,0.054404,0.007483,0.000632,0.050478,-0.013505,-0.024382,0.037671,1
-0.013961,0.012561,0.013322,-0.013732,0.018953,-0.055894,0.014328,0.027887,0.009657,0.013228,0.01329,0.022838,0.028528,0.029944,0.060284,-0.009432,0.015189,0.046101,0.017285,0.002407,0.028513,1
-0.001293,0.034526,-0.019995,0.018596,0.002813,-0.048812,0.021251,-0.013079,-0.045829,0.044344,0.005284,0.002848,0.0125,0.008251,0.035298,-0.02958,-0.028774,0.05295,-0.012035,-0.007339,0.005065,1
-0.026604,0.022677,-0.014298,0.030264,0.020949,-0.050736,0.039646,-0.004835,-0.03085,0.037445,0.001945,0.018504,0.026761,-0.013575,0.041709,0.007483,-0.022805,0.044619,-0.010087,-0.024382,0.005444,1
0.003617,0.037463,0.036759,0.026307,0.034578,-0.044175,-0.000076,0.00152,-0.046008,0.025923,0.012314,0.008251,0.037805,-0.003259,0.044659,-0.02408,-0.000436,0.026569,0.02583,-0.000279,0.013865,1
0.018238,0.016948,-0.021948,0.001018,0.008672,-0.033187,0.050548,0.007429,-0.028251,0.042879,0.013096,-0.006673,0.003711,0.031688,0.029439,-0.037392,-0.015102,0.045138,-0.015453,-0.023453,0.019713,1
-0.007072,0.005099,-0.016251,0.012686,0.026809,-0.035111,0.068943,0.015673,-0.013272,0.03598,0.009758,0.008982,0.017971,0.009863,0.035849,-0.00033,-0.009134,0.036806,-0.013505,-0.040495,0.020092,1
0.023149,0.019885,0.034806,0.010682,0.040437,-0.02855,0.029221,0.023004,-0.028429,0.024458,0.020126,-0.00127,0.029016,0.020179,0.0388,-0.031893,0.013236,0.014851,0.022412,-0.016392,0.028513,1
-0.034416,0.003146,-0.006486,0.024405,-0.006395,-0.062943,0.033787,0.014696,0.017978,-0.011383,0.042961,-0.004445,0.012112,-0.017481,0.020224,0.011389,0.002585,0.044619,-0.001786,-0.037077,0.044506,1
-0.01689,-0.001111,0.015275,-0.011779,0.01114,-0.075425,-0.00325,0.010309,0.017469,-0.022905,0.039657,0.004284,0.015832,0.016273,0.026104,-0.005525,0.016166,0.040241,0.029003,-0.010289,0.035349,1
-0.015942,0.017436,-0.006323,-0.032186,-0.008418,-0.055159,-0.002919,0.002546,0.010323,-0.010709,0.048253,-0.033712,0.000782,0.01997,0.019673,-0.012002,0.011265,0.042208,0.01653,-0.00795,0.038268,1
-0.004195,0.017932,0.044572,0.020447,0.007234,-0.056382,-0.005936,0.022028,0.002821,-0.022905,0.054306,-0.014698,0.023157,-0.007165,0.023175,-0.020174,0.024955,0.026569,0.03413,-0.012974,0.052927,1
-0.0052,0.021831,-0.018041,0.020549,-0.003046,-0.068343,0.004649,-0.031634,-0.038017,0.0087,0.032628,-0.015706,-0.000195,-0.005421,0.000142,-0.025674,-0.026821,0.047091,-0.000316,-0.020035,0.011901,1
-0.000289,0.025744,0.038712,0.02826,0.028718,-0.063706,-0.016678,-0.016058,-0.038195,-0.009722,0.039657,-0.010304,0.02511,-0.016931,0.009503,-0.020174,0.001517,0.018757,0.037548,-0.012974,0.020701,1
0.00066,0.044292,0.017115,0.007853,0.009161,-0.04344,-0.016347,-0.023821,-0.045341,0.002474,0.048253,-0.048299,0.010059,-0.013233,0.003071,-0.02665,-0.003383,0.020724,0.025075,-0.010635,0.02362,1
0.016285,0.005229,-0.019995,0.004924,0.002813,-0.052718,0.032969,-0.011126,-0.020438,0.007723,0.039464,-0.025228,-0.008984,0.018017,-0.005718,-0.033486,-0.013149,0.037325,-0.003734,-0.036148,0.026549,1
-0.014885,-0.004179,-0.008439,-0.02833,0.037063,-0.048783,0.033054,-0.007276,0.001865,-0.005402,0.03759,-0.023183,0.008206,0.011816,0.006553,0.018225,0.007468,0.017275,0.018355,-0.041105,0.021069,1
0.022144,0.026714,0.015162,-0.007772,0.01502,-0.027815,0.011973,-0.00429,-0.027763,0.001498,0.056065,-0.057821,0.00127,0.010204,-0.002788,-0.034463,0.008335,0.010958,0.021657,-0.026749,0.038268,1
-0.034416,0.005099,-0.005509,0.016592,0.005324,-0.064896,0.043552,0.034228,0.010165,-0.005524,0.013664,-0.008352,0.019925,-0.013575,0.029014,0.011389,-0.00718,0.021181,-0.034013,-0.0007,0.055249,1
-0.015914,0.000842,0.016251,-0.018615,0.022859,-0.077378,0.006515,0.029352,0.009657,-0.017046,0.009384,0.000377,0.023645,0.019202,0.034893,-0.003572,0.007377,0.016804,-0.003467,0.026088,0.046091,1
-0.010054,0.005725,0.009904,-0.010803,0.043367,-0.084702,-0.005203,-0.008734,-0.032336,-0.003862,-0.005264,0.004772,0.025598,0.009437,0.022198,-0.003572,-0.016061,0.010944,-0.000171,0.026088,0.013865,1
0.015336,-0.013318,0.00258,0.017518,0.034089,-0.074937,0.042404,0.016169,-0.023058,0.001387,0.000595,0.008861,0.013879,0.016273,0.010479,-0.025057,-0.018014,0.011921,-0.023487,-0.00211,0.034373,1
-0.050041,0.005587,0.002303,-0.037119,-0.013719,-0.050247,0.048679,0.012743,0.01749,-0.009796,0.01464,0.00001,0.021389,-0.001856,0.039756,0.015295,-0.003274,0.008486,0.02336,-0.010832,0.032788,1
