@relation 'cars-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-weka.filters.supervised.attribute.NominalToBinary_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1'

@attribute 0.793safety=high-0.441safety=low-0.352safety=med+0.179lugboot=small-0.122lugboot=big... numeric
@attribute -0.494lugboot=small+0.485lugboot=big-0.468safety=low+0.362safety=med-0.292persons=more... numeric
@attribute 0.576safety=med+0.516lugboot=small-0.412safety=low-0.342lugboot=big+0.183persons=4... numeric
@attribute 0.763persons=4-0.578persons=2-0.185persons=more-0.171lugboot=small+0.097lugboot=big... numeric
@attribute -0.685persons=more+0.467persons=2+0.282safety=low-0.277safety=med-0.244lugboot=med... numeric
@attribute -0.754lugboot=med+0.538lugboot=big+0.234persons=more+0.216lugboot=small-0.194persons=2... numeric
@attribute 0.761buying=vhigh-0.642buying=high-0.079buying=med-0.04buying=low-0.008doors=4... numeric
@attribute -0.799maint=vhigh+0.574maint=high+0.117maint=low+0.109maint=med+0.047doors=2... numeric
@attribute '-0.628maint=high+0.6  maint=med+0.338maint=low-0.31maint=vhigh-0.122doors=4...' numeric
@attribute 0.817doors=4-0.41doors=5more-0.301doors=2-0.167buying=med-0.106doors=3... numeric
@attribute 0.593maint=low+0.482buying=med-0.374maint=med-0.305buying=high-0.272doors=2... numeric
@attribute '-0.511doors=2+0.494doors=3-0.462buying=med+0.29 buying=high-0.231maint=med...' numeric
@attribute -0.694doors=3+0.617doors=5more-0.267buying=med+0.164buying=high+0.114doors=4... numeric
@attribute 0.566doors=2+0.475maint=low-0.42maint=med-0.351doors=5more-0.281buying=med... numeric
@attribute -0.864buying=low+0.331buying=med+0.295buying=high+0.238buying=vhigh+0.011doors=5more... numeric
@attribute class {1,2,3,4}

@data
1.958716,-0.246636,0.676791,-1.596221,1.446164,0.005777,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
-1.155197,-0.396706,-1.313455,-0.949497,1.071347,-1.930917,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
-0.284291,-0.235994,2.705224,1.145349,0.341642,0.333908,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
2.142508,-0.779419,1.13469,1.246806,0.918919,0.33241,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
-1.110852,0.080368,-1.211455,1.939646,1.111711,1.135162,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
-0.349314,-0.899782,1.999588,-0.865203,-1.574754,0.91454,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
2.077485,-1.443207,0.429053,-0.763746,-0.997477,0.913041,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
-1.175875,-0.583421,-1.917091,-0.070906,-0.804685,1.715793,1.757607,-1.703834,-0.559896,-0.63121,-1.342449,-0.705481,0.250042,1.62115,0.546251,1
1.958716,-0.246636,0.676791,-1.596221,1.446164,0.005777,1.751963,-1.901339,-0.515524,-0.180612,-0.694698,1.615748,-1.26858,0.103735,0.544886,1
-1.155197,-0.396706,-1.313455,-0.949497,1.071347,-1.930917,1.751963,-1.901339,-0.515524,-0.180612,-0.694698,1.615748,-1.26858,0.103735,0.544886,1
