@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A12-N200-T1.0E-4-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 8 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric
@attribute Source_7 numeric
@attribute Source_8 numeric
@attribute Source_9 numeric
@attribute Source_10 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
0.007591,-0.016916,-0.044273,-0.070916,0.002974,0.011836,-0.007159,-0.002307,-0.0099,0.007323,-0.016388,6,cluster3
-0.022255,-0.019217,-0.026154,-0.06178,0.023613,0.004881,0.014842,0.005828,-0.037951,0.008255,-0.003468,6,cluster2
-0.022255,-0.019217,-0.026154,-0.06178,0.023613,0.004881,0.014842,0.005828,-0.037951,0.008255,-0.003468,6,cluster2
-0.007292,-0.004333,-0.045794,-0.064997,-0.005178,0.003202,0.014567,-0.002341,-0.007055,-0.00647,-0.010412,6,cluster3
-0.013714,-0.033221,-0.045429,-0.070276,0.000452,-0.005025,0.010064,-0.005021,-0.023358,0.011324,-0.030408,7,cluster3
-0.000967,0.01475,-0.044166,-0.086707,0.003295,-0.007006,0.016444,0.021409,-0.009844,-0.000535,0.000291,6,cluster3
0.007275,-0.05292,-0.060535,-0.103629,0.045228,-0.029515,0.023994,0.038497,-0.020846,0.000254,0.002777,8,cluster1
0.006226,-0.041737,-0.046019,-0.076633,0.003876,0.008688,0.00569,0.009744,-0.02481,-0.016823,-0.042915,6,cluster2
-0.015735,-0.000369,-0.040576,-0.064765,-0.003416,0.000574,0.012115,-0.002429,-0.01102,-0.006567,-0.007201,5,cluster3
0.007275,-0.05292,-0.060535,-0.103629,0.045228,-0.029515,0.023994,0.038497,-0.020846,0.000254,0.002777,8,cluster1
0.007981,-0.030827,-0.047011,-0.071735,0.01086,0.001737,0.025578,0.003433,-0.018362,0.008067,-0.019687,7,cluster3
-0.011409,-0.01332,-0.025484,-0.068245,0.025082,0.005091,0.002761,-0.000604,-0.01455,0.012012,-0.028153,6,cluster8
-0.004264,-0.045141,-0.043104,-0.075163,0.012862,0.011477,0.012134,0.008508,-0.028026,0.002666,-0.035781,6,cluster2
-0.030015,-0.044719,-0.055179,-0.07506,-0.00507,-0.017437,0.012384,0.021384,-0.029836,-0.007441,-0.026209,7,cluster4
-0.02305,-0.014066,-0.004379,-0.077348,0.019176,0.01374,0.008313,-0.00817,-0.044598,0.028432,-0.006552,6,cluster8
-0.014255,-0.000472,-0.033975,-0.050985,0.008494,-0.007051,-0.007199,-0.012737,-0.012972,0.028301,-0.016422,6,cluster8
-0.008437,-0.027779,-0.023888,-0.06113,0.015868,0.021056,0.034645,-0.030734,0.008667,-0.020204,-0.019376,5,cluster6
0.002313,-0.013729,-0.035773,-0.071042,0.014488,0.01073,0.022934,0.005371,-0.005826,-0.008806,-0.018766,5,cluster3
-0.000205,-0.01682,-0.044869,-0.073091,0.020717,0.003132,0.035016,0.017997,-0.020223,0.003552,-0.035774,6,cluster1
