@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.EM -I 100 -N 8 -X 10 -max -1 -ll-cv 1.0E-6 -ll-iter 1.0E-6 -M 1.0E-6 -K 10 -num-slots 1 -S 100-weka.filters.unsupervised.instance.RemovePercentage-P70.0-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute -0.512density+0.437alcohol-0.427residualsugar-0.407totalsulfur-0.3freesulfur... numeric
@attribute '-0.588fixedacid+0.581pH-0.345citricacid+0.29 freesulfur+0.244totalsulfur...' numeric
@attribute -0.591volacid+0.504citricacid+0.433sulphates+0.279freesulfur-0.214residualsugar... numeric
@attribute -0.711chlorides-0.442sulphates+0.306freesulfur-0.274volacid+0.274residualsugar... numeric
@attribute 0.643volacid+0.401sulphates+0.337alcohol-0.329chlorides+0.293totalsulfur... numeric
@attribute -0.494freesulfur+0.481sulphates-0.396chlorides+0.328density+0.289residualsugar... numeric
@attribute -0.705citricacid-0.427pH+0.309sulphates-0.269volacid-0.213residualsugar... numeric
@attribute '-0.588fixedacid-0.534pH+0.388residualsugar+0.27 sulphates-0.247totalsulfur...' numeric
@attribute 0.621alcohol+0.409residualsugar+0.394chlorides+0.331fixedacid+0.261pH... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
-3.676568,-0.545178,-0.930327,1.135258,-0.292825,0.891529,-0.204643,1.025079,0.150594,6,cluster5
-1.455226,0.09967,-0.001956,0.422979,-0.469933,-0.769182,0.197682,-0.601591,0.293214,6,cluster3
-1.455226,0.09967,-0.001956,0.422979,-0.469933,-0.769182,0.197682,-0.601591,0.293214,6,cluster3
-3.676568,-0.545178,-0.930327,1.135258,-0.292825,0.891529,-0.204643,1.025079,0.150594,6,cluster5
0.644522,0.430726,-0.356294,-0.999015,-0.714005,0.483688,-0.436953,-0.58487,-1.063441,6,cluster4
0.558607,-1.326594,0.914394,-0.149788,-0.108514,-0.062005,-0.238808,-1.218433,0.255367,6,cluster8
2.252922,-2.614806,0.559375,-0.490108,0.662463,0.746315,0.388588,0.292596,0.11746,5,cluster1
0.031623,-1.990781,0.5773,-0.339256,-0.057862,1.26745,0.286496,-1.134017,-0.254351,5,cluster8
1.596266,-1.351302,1.256621,-0.849008,-0.227788,1.315791,0.652503,-0.350393,0.092061,5,cluster1
1.578156,1.51709,2.061933,0.12553,-0.196921,-0.551508,-0.803838,-0.861484,1.100045,7,cluster2
-3.657708,-1.847879,0.416055,-0.346947,2.267661,1.408486,-1.223114,0.992535,0.134055,5,cluster7
0.743791,0.841486,0.927568,-0.487164,-0.440039,-0.255271,-1.010521,-1.068354,0.100427,8,cluster8
-0.391848,-0.247932,-3.137141,-2.298988,2.151197,-0.846162,1.098932,-0.990333,-0.895917,5,cluster7
0.471491,0.507398,0.235495,-1.008341,-0.800331,0.419118,-1.1221,-1.172757,-0.514556,6,cluster8
-1.860216,1.158793,0.684946,0.666379,0.723418,-0.786574,0.266888,-0.677904,0.214775,6,cluster3
-0.516895,0.522408,0.297017,-0.443604,-0.084128,0.714231,-0.911063,-0.495001,0.58523,6,cluster8
-1.220877,-1.4117,0.263836,-0.193787,0.067252,1.481582,-0.151568,-0.968243,0.610714,6,cluster8
1.105765,-0.873881,0.256551,-0.260948,-0.429653,-0.33899,0.05217,-0.482037,0.133185,6,cluster8
1.709187,-1.139915,0.296262,-1.272301,-0.113842,-1.361339,-0.605332,-0.098343,1.24491,5,cluster7
-3.119976,-0.348878,-0.722918,0.786378,-1.219216,0.485871,-0.879535,-0.133301,0.571578,5,cluster5
-1.966412,-0.071407,-0.061717,-3.301123,-2.502609,-4.020419,0.691837,0.290721,1.345004,6,cluster6
-2.001689,-0.149256,-0.229175,-3.256738,-2.522157,-4.118449,0.624604,0.316894,1.369175,6,cluster6
0.095055,0.653766,0.313081,-0.881512,-0.497557,-0.042213,0.895268,-0.406324,-0.689276,6,cluster4
-0.855643,-0.14028,-0.965674,-0.718633,-0.354496,-0.200417,0.495049,-0.191019,0.075936,6,cluster4
2.040412,0.257029,0.513766,-0.594758,-1.686619,0.012413,-0.162597,-0.015017,0.117755,7,cluster1
1.292522,0.640968,0.895394,-0.89298,-0.218862,0.883688,0.33303,-0.098216,0.098405,8,cluster1
-0.557192,-1.167615,-1.151677,0.383482,-1.319573,0.61826,-0.033175,-0.33333,0.183406,5,cluster5
-0.957416,-1.477087,-0.067661,-0.618296,-1.037059,0.873522,1.350275,0.836303,-0.003634,5,cluster5
-2.696163,0.560042,0.561169,0.344205,-0.228959,1.085331,0.251904,0.399507,0.577379,6,cluster5
-2.592262,-0.775021,-0.092856,-0.058102,0.82568,-0.477545,-1.796397,0.352584,-1.011905,5,cluster3
-2.596052,-0.996915,0.242515,0.084356,0.62063,-0.569429,-1.711768,0.299488,-1.059486,6,cluster3
-2.432545,-0.40643,0.075393,-0.349954,-0.123163,0.706237,-2.512485,1.355868,-1.2053,6,cluster7
1.740793,-3.183639,-0.292473,0.359357,0.051361,-0.162446,0.507953,-0.651222,0.037075,7,cluster2
-2.432545,-0.40643,0.075393,-0.349954,-0.123163,0.706237,-2.512485,1.355868,-1.2053,6,cluster7
-1.660374,1.11249,0.955101,0.957563,-1.412592,-0.417582,-0.001044,-1.025837,0.788864,5,cluster8
-3.555862,-1.042167,-0.812892,0.392725,-0.001989,0.436607,-0.226204,0.752518,0.380787,5,cluster5
-3.021354,0.526093,0.505064,0.834786,0.209411,0.91344,0.258792,0.535897,0.314236,6,cluster3
-2.590961,-1.065017,0.868372,-0.067339,-1.412582,-2.07083,0.054878,1.360815,-0.665846,6,cluster6
-3.389116,-0.484255,0.399287,0.48311,0.564724,-0.993075,-0.377741,0.640067,-0.22242,5,cluster3
-1.209963,0.329716,-1.112299,-0.652517,0.348327,0.613668,-0.561114,-0.143711,-0.651676,5,cluster4
1.812362,2.866281,-3.274917,-1.584301,-0.950161,0.620094,-0.377674,-1.649583,-0.061071,4,cluster7
-3.389116,-0.484255,0.399287,0.48311,0.564724,-0.993075,-0.377741,0.640067,-0.22242,5,cluster3
-2.369382,-1.048072,-0.169667,0.023069,-0.28871,0.824243,0.916139,0.225809,0.073504,5,cluster5
0.836536,0.762562,1.582556,1.093529,0.122156,-1.020698,0.273593,-0.393933,-0.236547,6,cluster2
1.759812,0.64198,-1.43902,0.951962,-1.512574,1.76056,-1.303266,0.247371,0.033524,5,cluster5
1.413882,-0.480669,0.929553,0.00797,-0.412146,0.315921,0.402014,0.276683,-0.379455,7,cluster1
0.027429,-1.744097,0.83224,-0.236411,-0.253358,1.168837,0.197158,-1.083408,-0.090303,6,cluster8
2.272092,0.684286,-0.035754,-0.560546,0.465345,1.028597,-0.859881,0.26014,0.421874,7,cluster1
-3.297825,-1.309741,-0.194526,0.35939,-0.347949,-0.738778,0.38514,0.670411,-0.215736,6,cluster3
2.777263,2.383732,-2.212546,0.772348,0.358582,-1.424064,0.199631,-0.165875,0.143746,8,cluster2
2.353859,0.966679,-0.326215,0.490154,0.375434,-0.968143,-0.084601,-0.054164,0.31645,7,cluster2
1.417775,0.005675,-1.41474,-0.486744,-0.677055,0.283484,-0.872735,-0.106352,-0.147295,5,cluster4
-3.297825,-1.309741,-0.194526,0.35939,-0.347949,-0.738778,0.38514,0.670411,-0.215736,6,cluster3
2.646842,-0.352587,-1.70355,0.092835,1.43473,-0.593465,0.452545,0.387403,0.199529,7,cluster2
-1.264821,-0.840279,-0.56753,-0.67858,-0.098401,0.946979,0.524005,-0.148293,-0.250906,5,cluster4
1.467508,-0.908935,0.893913,-1.186732,0.776334,-1.059852,-0.299387,0.487603,0.66969,6,cluster1
1.379067,-2.10549,0.650344,-0.090284,-0.787151,-0.153869,-0.308972,-0.677144,0.020606,6,cluster8
-2.488384,-0.273317,-0.152872,-0.03132,0.668434,1.595479,0.424994,0.73721,0.967579,5,cluster5
