@relation 'wine-weka.filters.unsupervised.instance.Resample-S0-Z30.0-no-replacement-V_principal components-weka.filters.unsupervised.attribute.PrincipalComponents-R0.95-A5-M-1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 8 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-weka.filters.unsupervised.instance.RemovePercentage-P70.0-V'

@attribute -0.512density+0.437alcohol-0.427residualsugar-0.407totalsulfur-0.3freesulfur... numeric
@attribute '-0.588fixedacid+0.581pH-0.345citricacid+0.29 freesulfur+0.244totalsulfur...' numeric
@attribute -0.591volacid+0.504citricacid+0.433sulphates+0.279freesulfur-0.214residualsugar... numeric
@attribute -0.711chlorides-0.442sulphates+0.306freesulfur-0.274volacid+0.274residualsugar... numeric
@attribute 0.643volacid+0.401sulphates+0.337alcohol-0.329chlorides+0.293totalsulfur... numeric
@attribute -0.494freesulfur+0.481sulphates-0.396chlorides+0.328density+0.289residualsugar... numeric
@attribute -0.705citricacid-0.427pH+0.309sulphates-0.269volacid-0.213residualsugar... numeric
@attribute '-0.588fixedacid-0.534pH+0.388residualsugar+0.27 sulphates-0.247totalsulfur...' numeric
@attribute 0.621alcohol+0.409residualsugar+0.394chlorides+0.331fixedacid+0.261pH... numeric
@attribute class {0,1,2,3,4,5,6,7,8,9,10}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8}

@data
0.644522,0.430726,-0.356294,-0.999015,-0.714005,0.483688,-0.436953,-0.58487,-1.063441,6,cluster8
-0.155275,-1.189678,-0.01753,-0.270192,-0.367668,0.50063,-0.554262,-0.974803,0.549598,6,cluster2
-0.155275,-1.189678,-0.01753,-0.270192,-0.367668,0.50063,-0.554262,-0.974803,0.549598,6,cluster2
-0.073829,0.829234,-1.379887,0.057712,-0.403122,0.38236,0.699487,0.073376,-0.475426,6,cluster4
1.71939,0.03604,1.332779,0.068146,-0.327768,0.348888,-0.004005,0.072373,-0.157617,7,cluster8
1.335971,0.972994,-2.943949,-0.264226,-0.064461,-0.399705,0.797364,-0.848328,-0.73734,6,cluster4
3.043663,0.036687,-1.570783,-0.61938,2.342518,-1.126774,-2.762114,0.134239,-0.328978,8,cluster1
0.977699,-0.933957,0.415445,-0.476345,1.28536,-0.114255,-0.184124,-0.515791,-0.743672,6,cluster2
-0.295192,0.941306,-1.208056,0.08083,-0.320276,0.657701,0.879217,-0.18787,-0.209661,5,cluster4
3.043663,0.036687,-1.570783,-0.61938,2.342518,-1.126774,-2.762114,0.134239,-0.328978,8,cluster1
1.727856,-0.651054,-0.633354,0.175408,-0.48691,-0.469748,-0.831177,0.071917,-0.583226,7,cluster8
0.536164,0.853682,0.542994,-0.447546,-0.774241,-0.355828,-0.505048,-1.532512,-0.137971,6,cluster8
1.379966,-1.188517,0.841854,-0.728705,0.281117,-0.240639,-0.684648,-0.417046,-0.080676,6,cluster2
1.661724,-0.375058,1.177716,-0.594809,1.841668,0.290836,0.718833,0.732283,0.175686,7,cluster3
1.857581,-1.192182,0.446726,-0.339524,-1.935692,1.471101,-0.524677,-2.232662,0.673975,6,cluster2
0.285129,1.333647,1.278077,-0.096048,-1.792449,0.294574,0.041301,-0.717857,-0.671623,6,cluster8
-0.783834,1.614158,-1.53913,0.875185,-0.950961,0.671414,-0.759782,-0.111385,0.452439,5,cluster8
0.319393,0.422783,-1.766,-0.117291,-0.20935,-0.519931,-0.245452,-0.660228,-0.412741,5,cluster4
1.17033,-0.662868,-0.751493,0.309872,-0.133372,-1.944828,-0.099478,-0.585751,-0.092594,6,cluster2
-3.119976,-0.348878,-0.722918,0.786378,-1.219216,0.485871,-0.879535,-0.133301,0.571578,5,cluster6
-0.855643,-0.14028,-0.965674,-0.718633,-0.354496,-0.200417,0.495049,-0.191019,0.075936,6,cluster6
0.057647,0.694814,0.352991,-0.951939,-0.583223,-0.048638,0.961236,-0.554413,-0.537567,6,cluster8
-0.150935,-0.181695,0.959771,-0.496243,-0.395994,-0.468654,1.133941,-0.727968,-0.207245,7,cluster2
-1.124802,2.000628,-0.631361,-0.687542,1.203922,-1.568938,0.271618,-0.34964,-0.465842,4,cluster5
-1.134386,1.944544,-0.771688,-0.804391,1.23329,-1.6385,0.366179,-0.288895,-0.459244,5,cluster5
-0.434339,0.542179,0.532008,-0.736681,-1.212865,0.017688,-0.19772,-0.84626,0.285154,5,cluster8
0.936114,0.380159,0.772243,-0.345429,-0.443868,-0.883717,0.099971,-1.208411,0.861857,6,cluster8
1.12103,0.991994,0.707645,-1.237241,-0.278844,-0.435911,0.449932,-0.256706,0.493337,7,cluster8
1.55273,0.279306,0.5106,0.500565,-1.324921,-0.955368,-0.380051,-0.489885,-0.035612,6,cluster8
-1.199557,-1.480646,0.690077,-3.304659,-2.586556,-2.967737,-0.399743,0.503057,0.119337,6,cluster6
0.740022,-0.088882,0.782068,-0.083758,0.604718,-0.660175,0.519519,-0.331822,-0.698776,6,cluster2
-2.033268,-0.151366,0.284003,0.630445,0.057992,0.207393,0.444956,-0.055664,-0.207226,6,cluster5
-1.589506,1.301596,-0.587629,1.146934,-1.734314,0.028422,-0.233438,-0.014919,0.019602,6,cluster6
1.211262,-0.278342,-2.132603,0.078076,-0.393233,0.039098,0.605127,0.061525,-0.293874,6,cluster4
0.722204,-0.124431,0.547239,0.647282,-1.10841,-0.595147,-0.356509,-1.584581,-0.141167,6,cluster8
-0.944199,-0.532987,-0.801865,-1.419794,-1.823755,-0.495912,1.374219,0.257125,-0.26203,6,cluster6
-1.589506,1.301596,-0.587629,1.146934,-1.734314,0.028422,-0.233438,-0.014919,0.019602,6,cluster6
1.456609,-0.439856,-2.774727,0.218744,0.884199,-0.760303,1.269338,-0.796137,-0.973438,5,cluster4
1.211262,-0.278342,-2.132603,0.078076,-0.393233,0.039098,0.605127,0.061525,-0.293874,6,cluster4
0.87227,-0.451977,0.028486,0.163939,-0.317222,-0.049524,0.769141,-0.592737,-0.43205,6,cluster2
0.64094,1.390825,-1.683747,-1.201613,-0.570006,0.184273,1.838066,-0.387694,-0.611952,5,cluster4
1.94274,0.408418,-0.135167,0.384222,0.260513,-0.093961,0.195159,0.527643,0.882095,7,cluster1
-0.312496,1.347832,0.10944,1.282481,0.118724,-2.029335,2.032179,-0.609634,-0.422408,5,cluster5
-2.334488,0.746493,0.567915,-0.142009,0.186146,-1.02011,-0.014196,0.262908,-1.256131,6,cluster7
-1.683176,1.926912,0.342103,-0.721881,0.645275,-0.448377,0.941371,-1.083137,-0.227788,5,cluster5
-0.576306,3.403099,0.908474,-1.745884,-0.040128,1.167822,-0.533771,-1.286922,0.341131,5,cluster8
0.283338,-3.317652,0.296899,-1.195327,-0.799605,0.738601,0.517194,-0.544135,-0.848648,6,cluster2
1.292522,0.640968,0.895394,-0.89298,-0.218862,0.883688,0.33303,-0.098216,0.098405,8,cluster8
-0.557192,-1.167615,-1.151677,0.383482,-1.319573,0.61826,-0.033175,-0.33333,0.183406,5,cluster6
2.549942,-0.700518,0.697574,0.537573,-0.669063,-0.778058,-0.355226,-0.319526,1.008372,7,cluster8
2.418015,-0.030861,0.53867,-1.199393,0.672745,0.987671,-0.135001,0.068119,0.491795,7,cluster1
0.025524,0.079863,-2.694731,-1.218686,0.078183,-0.09248,-0.948909,-0.75336,-0.757535,5,cluster4
0.937522,1.222021,1.605856,-1.587641,0.17877,1.176946,0.687034,-0.199091,0.238971,6,cluster3
-0.753189,0.392683,-1.036879,-0.110625,0.057664,-0.930658,0.800722,-0.58948,0.256093,5,cluster5
-1.646674,0.79085,0.298824,0.392668,-0.293737,0.055037,0.092479,-1.352878,0.102813,6,cluster5
-2.543313,-0.791167,-0.10473,-0.149714,0.891779,-0.338915,-1.914399,0.351636,-1.047902,6,cluster7
-2.58778,1.1767,0.267029,0.986625,0.16131,-0.582927,0.212838,0.01719,0.485194,6,cluster5
-2.592262,-0.775021,-0.092856,-0.058102,0.82568,-0.477545,-1.796397,0.352584,-1.011905,5,cluster7
-2.543313,-0.791167,-0.10473,-0.149714,0.891779,-0.338915,-1.914399,0.351636,-1.047902,6,cluster7
-2.596052,-0.996915,0.242515,0.084356,0.62063,-0.569429,-1.711768,0.299488,-1.059486,6,cluster7
-2.498125,1.10207,0.735984,0.518472,0.271856,-1.5425,-0.053845,0.197375,-1.256279,5,cluster5
1.839679,0.175243,0.7197,0.923054,0.338112,-1.304744,-0.110061,-0.406086,0.683038,7,cluster1
1.829581,0.158298,0.946376,1.027538,0.218379,-1.255193,0.031109,-0.328405,0.703721,7,cluster1
0.787017,-0.19401,1.198266,0.801903,-0.05177,-1.015809,0.658338,-0.785412,0.517606,7,cluster2
-2.983412,0.333326,-0.178302,1.341649,0.386442,-0.982276,0.79149,-0.149544,-0.323014,6,cluster5
-0.489243,-4.713315,-1.419478,0.284256,0.28451,0.807373,-0.541105,-0.965201,0.293043,4,cluster2
-2.925963,-0.670659,-0.161463,0.496381,-0.168036,-0.534773,0.415297,0.292591,0.038047,5,cluster6
-1.577224,1.748246,-0.453937,1.063606,-1.26094,-0.184123,-0.151393,-0.120544,0.329022,5,cluster8
-2.925963,-0.670659,-0.161463,0.496381,-0.168036,-0.534773,0.415297,0.292591,0.038047,5,cluster6
-1.460713,-0.707417,-0.376111,1.016,-2.051585,0.785078,-0.191379,-0.144899,0.718691,6,cluster6
-1.660374,1.11249,0.955101,0.957563,-1.412592,-0.417582,-0.001044,-1.025837,0.788864,5,cluster8
-3.021354,0.526093,0.505064,0.834786,0.209411,0.91344,0.258792,0.535897,0.314236,6,cluster5
0.115236,0.980007,0.363587,-0.934463,0.88276,-0.301044,0.652853,-0.786368,-0.462665,5,cluster5
-4.335731,-0.202254,0.164681,0.503143,0.557254,0.241547,-0.395475,0.463086,-0.195107,5,cluster7
-1.209963,0.329716,-1.112299,-0.652517,0.348327,0.613668,-0.561114,-0.143711,-0.651676,5,cluster4
1.565551,1.070611,-0.610503,0.042783,-0.085993,-0.292006,-0.182177,-0.229365,-0.127854,6,cluster8
2.238527,-1.172562,0.85443,0.361592,-1.037317,0.191157,-0.317347,-0.069714,0.178349,6,cluster8
-3.224385,-0.501314,0.214199,0.016286,0.563118,-0.56539,-0.359939,0.466983,-0.140277,5,cluster7
1.339166,1.174912,-2.096889,-0.354428,-0.424628,0.903543,1.101071,0.350687,-0.111532,5,cluster4
-0.433408,-0.366352,-0.107059,0.275687,-1.759044,-0.084271,-0.09127,-1.130815,0.505505,5,cluster8
-0.204566,-0.067747,-0.608148,-0.255768,-1.886732,0.312229,-0.06569,-1.19174,-0.354292,6,cluster8
-0.361014,-0.132563,1.007067,-1.005707,-2.175947,-1.972255,-0.348139,-0.18665,-0.121208,6,cluster8
0.304111,-0.519219,-1.42247,0.429284,0.660952,0.217291,0.233248,-0.509549,-0.048162,5,cluster4
-1.172374,1.993755,0.760381,0.32332,0.036586,0.271721,-0.334947,-0.995051,-0.141097,7,cluster5
0.075481,0.891908,1.677597,-0.538546,0.77963,-0.883542,-1.307658,0.234824,-0.74231,7,cluster7
0.042848,0.941068,1.679045,-0.626333,0.765457,-0.916112,-1.326324,0.167075,-0.723697,6,cluster7
-1.172374,1.993755,0.760381,0.32332,0.036586,0.271721,-0.334947,-0.995051,-0.141097,7,cluster5
-3.105242,1.512134,-0.152964,0.232059,1.669022,-0.139139,-0.658449,-0.00471,-0.819317,5,cluster5
-2.370399,1.11434,-0.279579,1.077923,-0.160245,0.940722,0.058538,0.100247,0.084136,5,cluster5
-1.787458,1.191314,-0.052375,0.797016,0.31495,-0.015053,1.025717,-0.547267,-0.71534,5,cluster5
-2.126511,1.021952,-0.080062,0.695404,0.258254,1.123982,-0.209733,0.230438,0.261388,5,cluster5
0.843248,-1.725225,0.647775,0.815019,0.057026,-0.50517,0.140827,-1.163065,-0.273574,6,cluster2
-2.433448,-0.891416,0.481454,-0.121465,0.337338,-0.366196,-2.152548,0.118651,-1.081897,5,cluster7
1.892773,-1.483966,0.546416,-0.202109,0.533505,0.872253,-0.282556,-0.788494,0.464264,6,cluster2
1.546446,0.085071,-0.5953,-0.531071,-0.887434,0.286872,-0.719789,-0.211919,-0.52952,5,cluster8
-2.433448,-0.891416,0.481454,-0.121465,0.337338,-0.366196,-2.152548,0.118651,-1.081897,5,cluster7
0.933847,-0.921873,1.349047,-0.164872,0.101651,0.076086,0.332322,-0.725381,0.111686,6,cluster2
1.424216,-1.861141,0.99593,-0.298828,-0.027995,0.727571,0.355999,-0.405385,0.193828,6,cluster2
1.384691,-0.783841,0.061458,0.456226,-0.368234,-1.25912,0.254609,0.72875,-0.895662,6,cluster3
0.515498,1.587077,0.524432,0.917179,-1.295951,-1.485033,0.361629,-0.27298,-0.708958,6,cluster8
0.527494,0.972908,-3.702344,-1.285773,0.061245,0.328667,-0.766277,-1.159854,-0.597599,4,cluster4
0.059646,-1.239728,-0.857829,-0.100624,-1.12591,-0.293174,0.636925,0.130705,-0.838852,6,cluster6
-0.210444,-1.247648,0.253211,1.278142,-0.04337,-1.092219,-0.163463,-0.561925,0.91631,7,cluster2
-1.77355,-0.836291,0.926022,0.617804,-0.68457,-0.455215,-0.268363,-0.004013,0.595914,6,cluster6
0.059646,-1.239728,-0.857829,-0.100624,-1.12591,-0.293174,0.636925,0.130705,-0.838852,6,cluster6
0.858717,-0.922007,1.013313,0.014099,-0.833723,-0.604217,0.236656,-0.129519,-0.228585,5,cluster2
-0.414763,-1.686164,1.163643,-1.879495,0.438291,2.925358,0.998011,0.603071,0.070504,6,cluster3
-3.297825,-1.309741,-0.194526,0.35939,-0.347949,-0.738778,0.38514,0.670411,-0.215736,6,cluster6
2.353859,0.966679,-0.326215,0.490154,0.375434,-0.968143,-0.084601,-0.054164,0.31645,7,cluster1
2.777263,2.383732,-2.212546,0.772348,0.358582,-1.424064,0.199631,-0.165875,0.143746,8,cluster1
-2.330168,-1.298463,-0.05385,0.258875,-1.120965,0.121237,-1.274481,1.327153,-0.744386,5,cluster7
-2.643992,0.833474,0.42171,0.814011,0.130413,-0.516862,0.227575,0.350911,0.094343,5,cluster5
-2.501192,0.57689,0.601798,0.956442,0.068826,-0.5946,0.213854,0.33958,0.564785,5,cluster5
-2.260567,-0.993103,1.034534,-0.400738,0.921352,0.498316,0.070512,-0.868706,-0.004654,6,cluster5
-0.781502,-4.660186,-1.618238,0.289645,0.878909,0.508935,-0.719828,-1.150832,-0.119546,5,cluster2
2.156795,-2.116197,-1.546017,-0.680079,1.179425,-0.336009,-0.512329,-0.374488,-0.723618,4,cluster4
1.308849,0.238999,0.389896,0.728205,-0.839515,-0.708847,-1.450477,-0.367123,0.140816,7,cluster8
0.05639,-0.675067,0.055521,1.572995,-0.364675,-1.621775,-0.564114,0.047811,0.336723,6,cluster1
2.042041,-2.139387,-0.174516,-0.068746,0.280573,-0.353915,-0.926245,0.93219,0.538645,4,cluster1
-1.915378,1.494736,-0.39661,0.935635,-1.090695,-0.46505,-0.405472,0.280837,0.194478,5,cluster6
-1.017931,1.070878,0.835431,-0.774221,0.224704,0.533415,0.82751,0.274859,-0.867168,6,cluster5
-0.963288,1.099009,0.265398,-0.843612,0.68944,0.371116,0.605166,0.223663,-0.909457,6,cluster5
-0.79803,0.611571,-0.760554,0.204104,0.35895,-1.58442,1.803072,-0.914192,-0.75876,5,cluster4
-3.964613,-0.648935,-0.757006,0.925774,-0.098804,0.895748,-0.186663,1.707216,0.009469,5,cluster6
-3.151842,0.965446,0.80792,0.435341,0.816114,-0.212109,-0.012161,0.285412,0.158986,6,cluster5
-3.176878,0.055232,1.706289,0.250204,1.133223,-0.432158,-0.227958,1.029484,-0.884413,5,cluster7
-3.286191,0.128163,1.566319,0.211719,1.367215,-0.53082,-0.289522,1.002765,-0.919567,5,cluster7
-1.320157,0.26411,1.010364,0.168367,0.439154,0.282065,0.186831,0.719484,-0.377849,6,cluster3
1.042369,0.830682,-0.398316,0.346092,0.101591,-0.322211,0.568712,0.744178,-0.29108,5,cluster3
2.150101,0.157193,-0.79167,-0.80041,2.388479,0.00423,-0.93875,0.224272,0.312959,8,cluster1
-3.964613,-0.648935,-0.757006,0.925774,-0.098804,0.895748,-0.186663,1.707216,0.009469,5,cluster6
0.553984,-1.154334,-0.60687,0.589174,-0.169858,-0.574185,-0.229777,0.724266,0.174722,6,cluster1
0.035963,0.541677,0.482976,-0.009315,-1.775241,0.049954,-0.282694,-0.686193,0.023716,5,cluster8
-3.057356,0.113959,-0.094577,-4.28829,-2.171823,-4.94334,0.782593,1.059706,1.370664,5,cluster6
-3.04451,0.029613,-0.196942,-4.065178,-2.210275,-5.041247,0.722054,0.998593,1.295124,5,cluster6
